`year|`name|`learning_institute
2025|Git Fundamentals|Vijfhart
2024|ArchiMate® 3 training course – Foundation and Practitioner
Archimate certified|Vijfhart
2024|Service API Specialist Combined Certification Exam (Honors)|Arcitura
2024|Digital Transformation Specialist (Honors)|Arcitura
2022|Certificering SAFe@ 5 Architect|Scaled Agile Inc
2021|Beïnvloedingsvaardigheden |Schouten & Nelissen
2020|Certificering SOA Design & Architecture Lab (Honors)|Arcitura
2020|Certificering SOA Gen 2, Service Technology Concepts|Arcitura
2020|Cursus SOA Gen 2, upgrade microservices (mod 1, 3, 8)|Arcitura
2019|Cursus Zakelijk tekenen|Buro BRAND
2019|Certificering SOA Professional Gen 1 (mod 1,3, 8) (Honors)|Arcitura
2018|Certificering Microservices Fundamentals |IBM Coursera
2018|Certificering What is Data Science |IBM Coursera
2018|Certificering Blockchain for Developers|IBM Coursera
2017|Microservices & Event Driven Architecture|Xpirit
2017|Technisch Leiderschap en vaardigheden|Cibit Academy
2014|Agile Foundation|Xebia
2011|IT-Architectuur in de praktijk|Cibit Academy
